resolution_code,res_key,vote_id,vote_date
A/RES/35/39,R/35/39,2163,1980-11-02
A/RES/35/43,R/35/43,2097,1980-11-05
A/RES/35/44,R/35/44,2180,1980-12-03
A/RES/35/45A,R/35/45A,2181,1980-12-03
A/RES/35/45B,R/35/45B,2182,1980-12-03
A/RES/35/50,R/35/50,2193,1980-12-06
A/RES/35/57,R/35/57,2159,1980-12-07
A/RES/35/58,R/35/58,2160,1980-12-07
A/RES/35/6,R/35/6,2094,1980-10-07
A/RES/35/60,R/35/60,2161,1980-12-07
A/RES/35/75,R/35/75,2162,1980-12-07
A/RES/35/8,R/35/8,2095,1980-10-01
A/RES/36/100,R/36/100,2262,1981-12-06
A/RES/36/102,R/36/102,2263,1981-12-06
A/RES/36/103,R/36/103,2264,1981-12-06
A/RES/36/104,R/36/104,2265,1981-12-06
A/RES/36/105,R/36/105,2206,1981-12-07
A/RES/36/106,R/36/106,2325,1981-12-07
A/RES/36/107,R/36/107,2326,1981-12-07
A/RES/36/112,R/36/112,2327,1981-12-07
A/RES/36/116A,R/36/116A,2308,1981-12-07
A/RES/36/116B,R/36/116B,2309,1981-12-07
A/RES/36/12,R/36/12,2290,1981-10-01
A/RES/36/120A,R/36/120A,2207,1981-12-07
A/RES/36/120B,R/36/120B,2208,1981-12-07
A/RES/36/120C,R/36/120C,2209,1981-12-07
A/RES/36/120D,R/36/120D,2210,1981-12-07
A/RES/36/120E,R/36/120E,2211,1981-12-07
A/RES/36/120F,R/36/120F,2212,1981-12-07
A/RES/36/121A,R/36/121A,2213,1981-12-07
A/RES/36/121B,R/36/121B,2214,1981-12-07
A/RES/36/121C,R/36/121C,2215,1981-12-07
A/RES/36/121D,R/36/121D,2216,1981-12-07
A/RES/36/121E,R/36/121E,2217,1981-12-07
A/RES/36/121F,R/36/121F,2218,1981-12-07
A/RES/36/122,R/36/122,2328,1981-12-01
A/RES/36/13,R/36/13,2291,1981-10-01
A/RES/36/133,R/36/133,2297,1981-12-04
A/RES/36/145,R/36/145,2283,1981-12-06
A/RES/36/146A,R/36/146A,2267,1981-12-06
A/RES/36/146B,R/36/146B,2268,1981-12-06
A/RES/36/146C,R/36/146C,2269,1981-12-06
A/RES/36/146F,R/36/146F,2270,1981-12-06
A/RES/36/146G,R/36/146G,2271,1981-12-06
A/RES/36/146H,R/36/146H,2272,1981-12-06
A/RES/36/147A,R/36/147A,2273,1981-12-06
A/RES/36/147B,R/36/147B,2274,1981-12-06
A/RES/36/147C,R/36/147C,2275,1981-12-06
A/RES/36/147D,R/36/147D,2276,1981-12-06
A/RES/36/147E,R/36/147E,2277,1981-12-06
A/RES/36/147F,R/36/147F,2278,1981-12-06
A/RES/36/147G,R/36/147G,2279,1981-12-06
A/RES/36/149B,R/36/149B,2280,1981-12-06
A/RES/36/15,R/36/15,2266,1981-10-01
A/RES/36/150,R/36/150,2281,1981-12-06
A/RES/36/151,R/36/151,2298,1981-12-06
A/RES/36/155,R/36/155,2299,1981-12-06
A/RES/36/157,R/36/157,2300,1981-12-06
A/RES/36/172A,R/36/172A,2219,1981-12-07
A/RES/36/172B,R/36/172B,2220,1981-12-07
A/RES/36/172C,R/36/172C,2221,1981-12-07
A/RES/36/172D,R/36/172D,2222,1981-12-07
A/RES/36/172E,R/36/172E,2223,1981-12-07
A/RES/36/172F,R/36/172F,2224,1981-12-07
A/RES/36/172G,R/36/172G,2225,1981-12-07
A/RES/36/172H,R/36/172H,2226,1981-12-07
A/RES/36/172I,R/36/172I,2227,1981-12-07
A/RES/36/172K,R/36/172K,2228,1981-12-07
A/RES/36/172L,R/36/172L,2229,1981-12-07
A/RES/36/172M,R/36/172M,2230,1981-12-07
A/RES/36/172N,R/36/172N,2231,1981-12-07
A/RES/36/172O,R/36/172O,2232,1981-12-07
A/RES/36/173,R/36/173,2284,1981-12-07
A/RES/36/175,R/36/175,2285,1981-12-07
A/RES/36/18,R/36/18,2292,1981-11-02
A/RES/36/188,R/36/188,2286,1981-12-07
A/RES/36/19,R/36/19,2293,1981-11-02
A/RES/36/21,R/36/21,2294,1981-11-02
A/RES/36/225,R/36/225,2288,1981-12-07
A/RES/36/226A,R/36/226A,2233,1981-12-07
A/RES/36/226B,R/36/226B,2234,1981-12-07
A/RES/36/231A,R/36/231A,2310,1981-12-01
A/RES/36/232,R/36/232,2311,1981-12-01
A/RES/36/234A,R/36/234A,2312,1981-12-01
A/RES/36/234B,R/36/234B,2313,1981-12-01
A/RES/36/237,R/36/237,2319,1981-12-01
A/RES/36/240A,R/36/240A,2320,1981-12-01
A/RES/36/240C,R/36/240C,2321,1981-12-01
A/RES/36/241,R/36/241,2322,1981-12-01
A/RES/36/242,R/36/242,2323,1981-12-01
A/RES/36/25,R/36/25,2200,1981-11-04
A/RES/36/27,R/36/27,2201,1981-11-06
A/RES/36/29,R/36/29,2295,1981-11-06
A/RES/36/3,R/36/3,2197,1981-09-01
A/RES/36/31,R/36/31,2324,1981-11-06
A/RES/36/34,R/36/34,2202,1981-11-04
A/RES/36/39,R/36/39,2203,1981-11-04
A/RES/36/46,R/36/46,2301,1981-11-03
A/RES/36/49,R/36/49,2302,1981-11-03
A/RES/36/5,R/36/5,2198,1981-10-01
A/RES/36/50,R/36/50,2303,1981-11-03
A/RES/36/51,R/36/51,2304,1981-11-03
A/RES/36/52,R/36/52,2305,1981-11-03
A/RES/36/56A,R/36/56A,2296,1981-11-04
A/RES/36/66A,R/36/66A,2306,1981-11-02
A/RES/36/66B,R/36/66B,2307,1981-11-02
A/RES/36/68,R/36/68,2204,1981-12-05
A/RES/36/69,R/36/69,2205,1981-12-05
A/RES/36/7,R/36/7,2199,1981-10-07
A/RES/36/73,R/36/73,2282,1981-12-01
A/RES/36/8,R/36/8,2289,1981-10-01
A/RES/36/84,R/36/84,2235,1981-12-06
A/RES/36/86A,R/36/86A,2236,1981-12-06
A/RES/36/86B,R/36/86B,2237,1981-12-06
A/RES/36/87B,R/36/87B,2238,1981-12-06
A/RES/36/88,R/36/88,2239,1981-12-06
A/RES/36/89,R/36/89,2240,1981-12-06
A/RES/36/92C,R/36/92C,2241,1981-12-06
A/RES/36/92D,R/36/92D,2242,1981-12-06
A/RES/36/92E,R/36/92E,2243,1981-12-06
A/RES/36/92F,R/36/92F,2244,1981-12-06
A/RES/36/92H,R/36/92H,2245,1981-12-06
A/RES/36/92I,R/36/92I,2246,1981-12-06
A/RES/36/92J,R/36/92J,2247,1981-12-06
A/RES/36/92K,R/36/92K,2248,1981-12-06
A/RES/36/94,R/36/94,2249,1981-12-06
A/RES/36/95,R/36/95,2250,1981-12-06
A/RES/36/96A,R/36/96A,2251,1981-12-06
A/RES/36/96B,R/36/96B,2252,1981-12-06
A/RES/36/96C,R/36/96C,2253,1981-12-06
A/RES/36/97A,R/36/97A,2254,1981-12-06
A/RES/36/97C,R/36/97C,2255,1981-12-06
A/RES/36/97E,R/36/97E,2256,1981-12-06
A/RES/36/97G,R/36/97G,2257,1981-12-06
A/RES/36/97J,R/36/97J,2258,1981-12-06
A/RES/36/97K,R/36/97K,2259,1981-12-06
A/RES/36/98,R/36/98,2260,1981-12-06
A/RES/36/99,R/36/99,2261,1981-12-06
A/RES/37/1,R/37/1,2331,1982-10-04
A/RES/37/100A,R/37/100A,2406,1982-12-05
A/RES/37/100B,R/37/100B,2407,1982-12-05
A/RES/37/100C,R/37/100C,2408,1982-12-05
A/RES/37/100E,R/37/100E,2409,1982-12-05
A/RES/37/100H,R/37/100H,2410,1982-12-05
A/RES/37/102,R/37/102,2484,1982-12-01
A/RES/37/103,R/37/103,2485,1982-12-06
A/RES/37/104,R/37/104,2486,1982-12-06
A/RES/37/105,R/37/105,2487,1982-12-06
A/RES/37/11,R/37/11,2483,1982-11-03
A/RES/37/114,R/37/114,2488,1982-12-06
A/RES/37/118,R/37/118,2411,1982-12-01
A/RES/37/120C,R/37/120C,2421,1982-12-01
