country_iso3,date,gprh_raw
CHN,1966-04-01,96
CHN,1966-05-01,105
CHN,1966-06-01,81
CHN,1966-07-01,115
CHN,1966-08-01,93
CHN,1966-09-01,93
CHN,1966-10-01,90
CHN,1966-11-01,88
CHN,1966-12-01,100
CHN,1967-01-01,113
CHN,1967-02-01,96
CHN,1967-03-01,87
CHN,1967-04-01,89
CHN,1967-05-01,87
CHN,1967-06-01,125
CHN,1967-07-01,103
CHN,1967-08-01,135
CHN,1967-09-01,132
CHN,1967-10-01,117
CHN,1967-11-01,71
CHN,1967-12-01,81
CHN,1968-01-01,85
CHN,1968-02-01,94
CHN,1968-03-01,53
CHN,1968-04-01,51
CHN,1968-05-01,54
CHN,1968-06-01,60
CHN,1968-07-01,48
CHN,1968-08-01,37
CHN,1968-09-01,60
CHN,1968-10-01,40
CHN,1968-11-01,42
CHN,1968-12-01,26
CHN,1969-01-01,39
CHN,1969-02-01,47
CHN,1969-03-01,114
CHN,1969-04-01,69
CHN,1969-05-01,48
CHN,1969-06-01,46
CHN,1969-07-01,43
CHN,1969-08-01,68
CHN,1969-09-01,51
CHN,1969-10-01,44
CHN,1969-11-01,42
CHN,1969-12-01,41
CHN,1970-01-01,44
CHN,1970-02-01,47
CHN,1970-03-01,63
CHN,1970-04-01,61
CHN,1970-05-01,82
CHN,1970-06-01,40
CHN,1970-07-01,59
CHN,1970-08-01,37
CHN,1970-09-01,59
CHN,1970-10-01,46
CHN,1970-11-01,29
CHN,1970-12-01,33
CHN,1971-01-01,37
CHN,1971-02-01,64
CHN,1971-03-01,47
CHN,1971-04-01,55
CHN,1971-05-01,25
CHN,1971-06-01,53
CHN,1971-07-01,97
CHN,1971-08-01,70
CHN,1971-09-01,47
CHN,1971-10-01,54
CHN,1971-11-01,88
CHN,1971-12-01,99
CHN,1972-01-01,64
CHN,1972-02-01,83
CHN,1972-03-01,45
CHN,1972-04-01,70
CHN,1972-05-01,119
CHN,1972-06-01,86
CHN,1972-07-01,55
CHN,1972-08-01,36
CHN,1972-09-01,57
CHN,1972-10-01,49
CHN,1972-11-01,33
CHN,1972-12-01,34
CHN,1973-01-01,41
CHN,1973-02-01,32
CHN,1973-03-01,36
CHN,1973-04-01,45
CHN,1973-05-01,21
CHN,1973-06-01,26
CHN,1973-07-01,42
CHN,1973-08-01,35
CHN,1973-09-01,37
CHN,1973-10-01,71
CHN,1973-11-01,59
CHN,1973-12-01,19
CHN,1974-01-01,27
CHN,1974-02-01,23
CHN,1974-03-01,23
CHN,1974-04-01,25
CHN,1974-05-01,37
CHN,1974-06-01,33
CHN,1974-07-01,20
CHN,1974-08-01,34
CHN,1974-09-01,19
CHN,1974-10-01,17
CHN,1974-11-01,31
CHN,1974-12-01,25
CHN,1975-01-01,25
CHN,1975-02-01,40
CHN,1975-03-01,56
CHN,1975-04-01,57
CHN,1975-05-01,45
CHN,1975-06-01,36
CHN,1975-07-01,24
CHN,1975-08-01,45
